timestamp,tag_id,x_px,y_px,heading_deg
1777873023.619068,0,255.5845771071182,140.65959033455985,-30.295108674951468
1777873023.6881406,0,261.4462278570758,140.0925122458493,-29.768269657426625
1777873023.7579784,0,268.28829158426936,140.65813258169933,-28.826469421304836
1777873023.8276324,0,277.890124186924,141.50668998549156,-26.853048122502415
1777873023.884706,0,288.1069652038561,141.59549977260446,-24.74817965868911
1777873023.9460845,0,297.282987560282,141.83641776905392,-22.7510594715746
1777873024.00838,0,306.29667967761736,141.34848803998295,-20.610915160927764
1777873024.0644255,0,315.3704052353764,141.11312889751827,-18.499040830277085
1777873024.1247587,0,323.69809936945205,141.61773083373996,-16.438415940396045
1777873024.1824512,0,330.3389517503493,142.9210672522228,-14.598019782065673
1777873024.2403781,0,336.0763316468956,144.2596611316748,-13.053126438819929
1777873024.2946694,0,342.6815527107865,145.82287184535477,-11.550421645325383
1777873024.3495517,0,349.6270365385214,146.83216616592813,-10.150319779848168
1777873024.4037259,0,355.92047262005127,147.48914472132452,-8.965779035425378
1777873024.4587414,0,362.90252720281364,148.93921412459355,-7.847758013540156
1777873024.514593,0,368.73787026662694,151.0455709956509,-6.934632599575799
1777873024.5735235,0,373.758127375789,154.2377049259768,-6.149362375551873
1777873024.633363,0,378.41874278226214,160.46913238800082,-5.4104611049414775
1777873024.6936955,0,384.54436444471463,167.57245823216073,-4.503957378647165
1777873024.7506845,0,392.9963642659694,173.9273370342282,-3.3618682072216712
1777873024.8127265,0,403.16425030202265,180.4212493684969,-2.1364870523757666
1777873024.87327,0,412.2082941550208,186.4305412672989,-0.9988848329058121
1777873024.9357705,0,421.21105490933394,193.34591466719084,0.14458795982360878
1777873024.9973106,0,430.8362516695123,200.65589205407926,1.2902633912785189
1777873025.0595927,0,439.8728774581869,208.01708100049922,2.2039592037752085
1777873025.1240284,0,446.7961262791505,214.81037193130166,2.663210346499679
1777873025.186108,0,451.6948867006423,220.80618592776293,2.8348552549225805
1777873025.2482002,0,455.0343848429035,225.96711067251988,2.836294314924583
1777873025.3147326,0,458.20137870752535,229.40231793305446,2.7976478893906016
1777873025.3798406,0,460.05849207154415,232.42984878504723,2.598467731846571
1777873025.4454198,0,460.52476726875386,236.82466147606286,2.4116163496447607
1777873025.5124547,0,460.75991598475855,241.7398226936487,2.2431838660085166
1777873025.582069,0,461.65798234992894,246.71907166791019,2.0949828528294
1777873025.6493788,0,462.83301948805143,251.04921429946205,1.951342490227108
1777873025.7216551,0,464.56939146557676,254.78544940605877,1.8847345151403136
1777873025.790481,0,466.1675976285143,259.3591802248159,1.6936611517154891
1777873025.8553061,0,466.43207287712374,262.8826003646417,1.3237400082616
1777873025.9206696,0,465.97816074850033,265.9067332083789,0.8918064487411335
1777873025.9842224,0,465.75357559504045,268.15902375677854,0.5568235042116264
1777873026.0492046,0,465.91966726264184,270.539478218126,0.38114962858887275
1777873026.1128392,0,465.9139722521371,272.5404732707749,0.24501388788904166
1777873026.180386,0,465.92507261544733,274.62635411916403,0.18749320485673832
1777873026.2427402,0,466.1616287081299,276.41054463987973,0.21701474075344576
1777873026.3058546,0,467.28626487389505,277.9952356427115,0.33500177220261923
1777873026.3690758,0,469.9024662005537,279.5431561014924,0.556864342320653
1777873026.435324,0,475.2857350970129,280.80451189181974,0.8882727217731129
1777873026.4992893,0,484.45468814834,282.1432802343734,1.3127204624518274
1777873027.0542295,0,499.66860975375187,283.99517023029904,1.6257699786825388
1777873027.1805918,0,502.59565111035806,283.8265802017352,1.7234021802007593
1777873027.2423353,0,498.86429734790755,282.6935583020602,1.6808700473192797
1777873027.30689,0,489.2435751328834,281.33973038082587,1.372127434316886
1777873027.3696887,0,475.4118087328982,280.2362918126816,0.8369466100413699
1777873027.4317918,0,460.1670734266632,279.7654037911775,0.16622808634782962
1777873027.4966426,0,444.3072342337108,280.2155361139424,-0.6696681870360661
1777873027.5551593,0,428.8994019294305,281.73337783162106,-1.6134248806997984
1777873027.6173515,0,415.1972971807733,283.4573030344002,-2.5211633872963928
1777873027.6818478,0,403.7147607612507,284.830678364257,-3.276338010489399
1777873027.747627,0,393.4294451209523,285.83840822444546,-3.958836425765405
1777873027.815828,0,384.563289457014,286.738026303365,-4.547486136158546
1777873027.8822384,0,377.4548396895543,287.7450726531638,-5.048310326107257
1777873027.9454489,0,371.74511710302727,288.3938445872194,-5.4740380781215805
1777873028.0096421,0,367.21487531485377,289.13474662181727,-5.8301296945739916
1777873028.0713193,0,363.57762468364103,289.9118022537367,-6.117725440819791
1777873028.1335232,0,360.7897356426991,290.40255387027696,-6.397016166576182
1777873028.1985052,0,358.63523118984926,290.64745247660517,-6.60777333797664
1777873028.2613943,0,357.03715983636414,290.4792424771473,-6.770224208197403
1777873028.32592,0,355.6904071133137,290.64574995754333,-7.008188144238125
1777873028.3901694,0,354.64964195784444,291.0394008803161,-7.313156761832695
1777873028.4540393,0,353.5738753446167,291.78449919185437,-7.838157589507715
1777873028.5157373,0,352.6578620012341,292.7645387862956,-8.54143734568954
1777873028.5815825,0,353.07694496568286,293.5670420078317,-9.091527502382133
1777873028.6478634,0,353.6633250369801,294.0604681592006,-9.65035126648053
1777873028.7126572,0,354.1324130105134,293.9859799237476,-10.243970461361164
1777873028.7760632,0,354.9277110754641,293.7456346736855,-10.744020525337293
1777873028.8379061,0,356.45472949187035,293.4628095511223,-11.037992272162981
1777873028.9026911,0,358.01361399416317,292.868700653118,-11.038854372547393
1777873028.9631746,0,359.7250397461006,291.55373503505115,-10.905803184160856
1777873029.0227036,0,361.2696623183233,289.8417516215006,-10.686849488006741
1777873029.0821602,0,363.0879475669677,288.268812960105,-10.33225482525778
1777873029.1457148,0,364.7361656984813,286.7066971904552,-9.974389213029642
1777873029.2093587,0,366.55240641208684,285.21651621446864,-9.489840734835925
1777873029.2725875,0,368.40378802158443,283.9274353392506,-8.876836161973955
1777873029.3326368,0,370.17882723516016,282.586639558393,-8.112142346761434
1777873029.3940587,0,372.33806278393985,281.37263056046737,-7.103544847625213
1777873029.4589758,0,374.3234579120462,280.5247121600417,-6.027594932581171
1777873029.5215008,0,376.32287682733977,279.9603740488302,-4.861724515709074
1777873029.5856292,0,377.7918612243799,279.1592555670948,-3.7618719252459902
1777873029.6490092,0,379.1013887024884,278.2435232186208,-2.701877953234802
1777873029.7146957,0,380.5677271791915,277.40525067942013,-1.695988130702055
1777873029.7823246,0,382.6328347765094,276.71121394027324,-0.7202971567817115
1777873029.8458006,0,383.9137538242744,276.6495130643383,-0.11029628717343526
1777873029.9155495,0,385.6961071592331,276.8259242740317,0.41148095374038157
1777873029.9855626,0,387.99698029112676,277.22615604357776,0.891942079165485
1777873030.0540211,0,390.23401526809874,277.4891224525843,1.1948674807435142
1777873030.1233742,0,392.3517539119182,277.655061190186,1.4701308752628326
1777873030.1902514,0,393.6282973085232,277.7268147869937,1.6751422487233685
1777873030.2539313,0,393.397748895679,277.71975065595325,1.6953133245347194
1777873030.317063,0,392.2664379753958,277.8341995097064,1.5881794575665604
1777873030.384848,0,391.62707702461006,278.1921855577549,1.4612677719468428
1777873030.44791,0,391.8576794165429,278.75801228953964,1.372342373803497
1777873030.5132253,0,392.1444184444483,279.26364506069797,1.303975786235633
1777873030.580234,0,392.4492492636373,279.6256713931397,1.3953192226041093
1777873030.6487515,0,393.6396030107252,279.6284660445797,1.8571105146230495
1777873030.7176776,0,395.58492778516245,278.81288444076824,2.414214208853979
1777873030.783322,0,397.6982086131527,276.7931541804401,2.774387691727947
